"count";"username";"datetime";"text"
"1106";"dokhtare.bahary_1398";"00:24:30 20-12-2020";"@sama_girle20.30 #خداقوت_مدافعان_سلامت❤️"
"1107";"dokhtare.bahary_1398";"00:24:38 20-12-2020";"@atena_2016_sama #خداقوت_مدافعان_سلامت❤️"
"1108";"fatemeh_haghnia";"00:24:41 20-12-2020";"فرشته های بی بال زمینی"
"1109";"dokhtare.bahary_1398";"00:25:37 20-12-2020";"#خداقوت_مدافعان_سلامت❤️ تنتان سالم و سلامت🌹🌹🌹"
"1110";"aryaarab";"00:27:25 20-12-2020";"@ro.ya2822 🙏🙏"
"1111";"baharak3977";"00:28:42 20-12-2020";"@fatemekaram1"
"1112";"homa906020a";"00:29:48 20-12-2020";"@rasta_1221_rasta خسته نباشید ان شاالله سلامت باشید همیشه"
"1113";"homa906020a";"00:29:59 20-12-2020";"@mahgol_2022_h سته نباشید ان شاالله سلامت باشید همیشه"
"1114";"somayyeh1108taleb";"00:30:02 20-12-2020";"ای لباس سپید فرشتگان بر تن، قلب بر کف به عشق بیماران.روز تو روز یاس سپید. روز عشق و ایثار، روز نوید."
"1115";"homa906020a";"00:30:10 20-12-2020";"@parigol2022 سته نباشید ان شاالله سلامت باشید همیشه"
"1116";"homa906020a";"00:30:19 20-12-2020";"@nazi_z73 سته نباشید ان شاالله سلامت باشید همیشه"
"1117";"laila_farbod";"00:30:29 20-12-2020";"@zohre_tarashi روز پرستار بر شما مبارک عزیزم ،انشاالله روزی برسه بتونیم زحمات شمارو جبران کنیم"
"1118";"homa906020a";"00:30:29 20-12-2020";"@nazbanojan_70 سته نباشید ان شاالله سلامت باشید همیشه"
"1119";"muslemarabgari38";"00:32:10 20-12-2020";"🎋🎋🎋👏👏👏👏🕋🕋🕋"
"1120";"m.j.6262";"00:32:20 20-12-2020";"سلام به همه عزیزان🙏💐انشاا... تنتون همیشه سالم و دلتون همیشه شاد باشه🙏من به عنوان یک پرستار به خودم قول دادم که از زمانی که لباس شریف خدمت رو بر تن کردم از هیچ چیز دریغ نکنم.و با سعه صدر و رویی گشاده بیماران رو همچون عزیزان خودم ببینم.انشاا... که روز به روز آمار کم بشه 🙏من و همسرم هر دو پرستاریم و احترام به بیمار رو در درجه اول کارمون قرار دادیم.فقط برای دو فرزندانم نگران و دلواپسم"
"1121";"3d_signart";"00:33:44 20-12-2020";"قهرمانان ،ملت هیچگاه شجاعت و مهربانی شمارا فراموش نخواهد کرد🌹🌹"
"1122";"atefeh_._1993";"00:33:57 20-12-2020";"@atousa_dortaj روزت مبارک عشق...خسته نباشی دلاوور"
"1123";"baharak3977";"00:34:09 20-12-2020";"وجودتون چون فرشتگان بر زمین است ،لبخندتون آرامش بخش و نگاهتون مهربان و گرم است ،با شما امنیت و امید را حس میکنیم ای مقدس ترین انسانها ،دوستان و همکاران عزیز پرستار روزتون مبارک 🌹🌹🌹🌹🌹🌹"
"1124";"93.nasrin.66";"00:35:11 20-12-2020";"@kasra.vahidi"
"1125";"amirpormah";"00:35:41 20-12-2020";"سلام و خسته نباشید خدمت همه پرستاری"
